chain,draw,warmup,alpha_2,beta_2[1],beta_2[2],beta_2[3],coeffs_2[1],coeffs_2[2],coeffs_2[3],coeffs_2[4],coeffs_2[5],kappa_2,alpha_3,beta_3[1],beta_3[2],beta_3[3],coeffs_3[1],coeffs_3[2],coeffs_3[3],coeffs_3[4],coeffs_3[5],kappa_3,alpha_4,beta_4[1],beta_4[2],beta_4[3],coeffs_4[1],coeffs_4[2],coeffs_4[3],coeffs_4[4],coeffs_4[5],kappa_4,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__
1,1245,0,-4.259378426939335,0.31440376159019434,-0.028485387862579314,-0.02398843543822899,1.1679072550828924,0.849013637550935,0.11384178381154024,0.2636318234878074,0.4899736447083524,182.13033547608887,3.9346620745263734,0.4996139133365137,0.2042123874946638,0.17051479896446717,2.370437709050952,-2.7191952619417337,0.09966016940905807,-0.7681932003607971,-1.6246592742393746,101.40255925930582,-50.928692878686995,-9.09120066994882,-0.24847945611874026,-0.5120222987810804,0.9211932965926241,4.105385810279725,1.7207488573935736,4.120245858095971,14.026371840073011,14449.668776123719,177.5545384890486,0.8283144072668853,0.004609560398621849,6,123,1,-163.1407989276175
1,1246,0,-4.251125413039279,0.32494971037347303,-0.028980018289456212,-0.024331862707009346,1.1700101436528716,0.8482940103956106,0.11247328570922317,0.25680455443626293,0.5139194148853342,180.21366666413223,4.068596355417107,0.49126548621219673,0.202537672087179,0.16937920811266347,2.3522729010080274,-2.7367131264938784,0.1021381967253539,-0.7994640534240405,-1.659123202686277,101.37462166223729,-50.599582760885795,-9.067207251571853,-0.2533642518799336,-0.5272254196445872,0.8670860182847729,3.92424292725813,1.7104045795572849,4.062883720513838,13.901756937409784,14384.878216976886,178.2661974119404,0.0241367954802591,0.004609560398621849,5,35,0,-157.66264668633676
1,1247,0,-4.256687139312069,0.32780428843695725,-0.02957501447222947,-0.02403590457813755,1.16853156160024,0.8335422179338633,0.11212156327545708,0.252895558940459,0.5544193180954959,181.8073687820921,4.00314898994481,0.4933239476432728,0.20279322618090548,0.16856205852959524,2.353613889732762,-2.718239994577668,0.10102647304207112,-0.8037071335626818,-1.5480102461661098,101.35520486600784,-50.90567460482935,-9.1191913140737,-0.24933711398921465,-0.530547706008116,0.8827283481349277,4.088253439972077,1.7175990733637057,4.087804109218049,13.822973790035151,14312.52791119969,178.57573641582923,0.06252844914682662,0.004609560398621849,4,28,1,-161.30313895829192
1,1248,0,-4.228152750922861,0.332247977406372,-0.029595830910862694,-0.023209956427484524,1.1661252763263963,0.819010687339233,0.11146939364052447,0.2547637968229526,0.6354773982281918,181.80746897962774,3.9932965194444066,0.49660649532355966,0.20021473103721546,0.1676894145434954,2.380440939259655,-2.7034168572666517,0.09967646019216482,-0.7603068282859959,-1.6830875590187104,101.33861129714612,-50.91964057677245,-9.057938267269241,-0.2516546798670107,-0.5301187646724519,0.8295180274801066,4.089585175999315,1.7123299711851705,4.206870758534343,13.909827373215842,14483.483575597764,176.96023142302124,0.15241109079642687,0.004609560398621849,3,15,1,-160.94201439634156
1,1249,0,-4.052082406335364,0.3508493402685215,-0.03558121012485372,-0.022904318122994986,0.9994660192332359,0.8491451181590681,0.11494887918374028,0.24417324087746048,0.443501451235356,174.23836671137303,3.5412716248606992,0.4220232859957592,0.1924774498495185,0.20653569661229257,2.6375986107149614,-2.914470204584764,0.14320621989217316,-0.8527194335101217,-0.9499576338874075,102.1505891262111,-52.500877732997886,-10.266405755833008,-0.2303453565603739,-0.518992216063319,1.2364901078567336,2.5256500979362237,1.6377839697764112,3.649643145096376,17.71499422441573,8767.919488951635,176.9609194653529,0.8072463604940193,0.004609560398621849,7,182,1,-163.69864394122246
1,1250,0,-4.060874876461792,0.32940820832488427,-0.03648414371716705,-0.012393284055345842,1.0241351477251655,0.7330570221887045,0.10810845181550953,0.13686018680368098,0.7715988082826977,176.8519408607292,3.190078311549512,0.4013043594211022,0.20139282466208713,0.19387974163100138,2.775859912424389,-2.8493854378126056,0.19186163130284134,-0.8027522448605109,-0.6825838045873179,101.89961799124579,-53.48883641009681,-10.383114576601887,-0.22004856905525422,-0.6152807789530884,1.1387143435019458,2.87279982675054,1.4801992106814499,3.925484375810638,17.119220518716187,9655.03978236641,175.8019537610526,0.822640161270496,0.004609560398621849,7,129,1,-164.8593605624258
1,1251,0,-4.18887979681093,0.32566564857986663,-0.03875840438678288,-0.016661153317853297,1.0696122482986452,0.7789250227904344,0.0982862983786265,0.17479277491501258,0.8128104831730824,186.50984469213446,3.0033704060776767,0.3331492898395349,0.19549255998137904,0.1757243108634005,2.8131574311523972,-3.0847005658361746,0.17985480323835046,-0.8951588199167209,-0.21406315132007786,101.68208712798021,-53.211581516751686,-10.591746869909155,-0.18856384104615753,-0.6386385029910774,1.2517620612301292,2.4900314072619767,1.5299037873920946,3.9721520371246606,16.745891607993503,10031.723093629886,176.11641904051632,0.5399404398831904,0.004609560398621849,8,461,1,-162.7222241476856
1,1252,0,-4.18887979681093,0.32566564857986663,-0.03875840438678288,-0.016661153317853297,1.0696122482986452,0.7789250227904344,0.0982862983786265,0.17479277491501258,0.8128104831730824,186.50984469213446,3.0033704060776767,0.3331492898395349,0.19549255998137904,0.1757243108634005,2.8131574311523972,-3.0847005658361746,0.17985480323835046,-0.8951588199167209,-0.21406315132007786,101.68208712798021,-53.211581516751686,-10.591746869909155,-0.18856384104615753,-0.6386385029910774,1.2517620612301292,2.4900314072619767,1.5299037873920946,3.9721520371246606,16.745891607993503,10031.723093629886,176.11641904051632,0.013352326605979514,0.004609560398621849,3,15,0,-156.15049252106405
1,1253,0,-4.33466306176166,0.28375290663463754,-0.04228712629286451,-0.02176154862351259,0.9260185841716116,0.8470083233216291,0.11376695303553357,0.20905461720835336,0.785474087323466,191.9611686830496,3.452878477261589,0.29336493413739684,0.20423542211423643,0.20865253873767428,2.8083795916615646,-3.304932689589137,0.2000138817646688,-1.0493010718999198,-0.3160915162686537,102.07954345332841,-52.65600428009835,-9.57640172733862,-0.1746738866299543,-0.6792779532906569,1.1963538542484875,2.607603855545456,1.5683694466549272,4.111418243356266,16.854351370070894,10735.412981691923,179.16422093873985,0.2823058148908744,0.004609560398621849,6,112,1,-166.55037616197077
1,1254,0,-4.03624066192021,0.37399358271217004,-0.03939648709626955,-0.020600676979519658,0.940282727536928,0.9039692737190914,0.09232293259312543,0.07724626900617773,0.656160971199768,239.67114245805965,1.686712040969871,0.6197497496866827,0.21181690851588697,0.16946931176588778,2.3032173325055174,-3.222026765184158,0.20229358869859754,-0.9402959964396437,2.4135590487293888,102.13103221828639,-53.979990943953666,-9.006259233694168,-0.16143843721387235,-0.6758228705902679,1.2207334287728282,1.3853723110802243,1.7837987131142024,3.752708402579753,21.810064546678493,10319.18850207303,176.4944121376817,0.8982667869352631,0.004609560398621849,7,139,0,-166.342620993518
