Station Name,Latitude,Longitude,Date,Mean Temperature,Maximum Temperature,Minimum Temperature,Precipitation,Mean Wind Speed
BERBERA,+10.389,+044.941,20050127,81.4,93.0,77.2,0.00,8.4
BERBERA,+10.389,+044.941,20050128,81.1,84.2,70.7,0.00,6.0
BERBERA,+10.389,+044.941,20050129,81.7,94.1,71.6,0.00,10.8
BERBERA,+10.389,+044.941,20050130,80.6,82.4,71.1,0.00,8.3
BERBERA,+10.389,+044.941,20050131,80.6,88.0,73.4,0.00,15.5
BERBERA,+10.389,+044.941,20050201,78.0,89.8,64.6,0.00,12.9
BERBERA,+10.389,+044.941,20050203,81.2,90.1,75.2,0.00,8.7
BERBERA,+10.389,+044.941,20050205,80.9,90.5,68.0,0.00,7.7
BERBERA,+10.389,+044.941,20050207,82.3,90.9,66.2,0.00,7.4
BERBERA,+10.389,+044.941,20050208,79.5,85.3,63.5,0.00,6.9
BERBERA,+10.389,+044.941,20050209,80.7,85.6,64.0,0.00,6.8
BERBERA,+10.389,+044.941,20050210,87.3,95.0,65.3,0.00,5.0
BERBERA,+10.389,+044.941,20050212,86.1,90.1,71.8,0.00,6.0
BERBERA,+10.389,+044.941,20050213,82.8,92.1,74.5,0.00,10.0
BERBERA,+10.389,+044.941,20050214,83.6,86.5,72.5,0.00,6.3
BERBERA,+10.389,+044.941,20050223,81.6,86.4,80.6,0.00,12.5
BERBERA,+10.389,+044.941,20050224,84.9,91.4,69.6,0.00,9.3
BERBERA,+10.389,+044.941,20050302,84.6,86.0,78.3,0.00,11.9
BERBERA,+10.389,+044.941,20050303,82.4,84.2,80.6,0.00,6.2
BERBERA,+10.389,+044.941,20050306,86.3,92.7,75.7,0.00,3.0
BERBERA,+10.389,+044.941,20050307,86.4,102.2,77.7,0.00,8.4
BERBERA,+10.389,+044.941,20050308,84.8,87.1,77.9,0.00,9.0
BERBERA,+10.389,+044.941,20050309,84.0,86.0,77.7,0.00,10.7
BERBERA,+10.389,+044.941,20050310,84.1,94.5,77.0,0.00,7.8
BERBERA,+10.389,+044.941,20050311,85.6,89.6,84.2,0.00,6.8
BERBERA,+10.389,+044.941,20050313,85.2,90.7,82.9,0.00,8.0
BERBERA,+10.389,+044.941,20050314,83.7,87.1,77.4,0.00,6.3
BERBERA,+10.389,+044.941,20050315,84.0,86.7,74.5,0.00,8.6
BERBERA,+10.389,+044.941,20050316,84.7,91.4,75.4,0.00,10.7
BERBERA,+10.389,+044.941,20050317,87.4,91.4,84.2,0.00,9.0
BERBERA,+10.389,+044.941,20050320,88.3,89.6,76.6,0.00,6.1
BERBERA,+10.389,+044.941,20050321,86.9,88.7,86.0,0.00,8.4
BERBERA,+10.389,+044.941,20050323,87.8,93.2,82.4,0.00,6.1
BERBERA,+10.389,+044.941,20050324,85.4,88.9,70.9,0.00,6.0
BERBERA,+10.389,+044.941,20050327,86.4,89.1,74.1,0.00,29.1
BERBERA,+10.389,+044.941,20050328,87.2,89.6,76.3,0.00,9.6
BERBERA,+10.389,+044.941,20050329,86.5,91.4,72.7,0.00,6.3
BERBERA,+10.389,+044.941,20050330,87.5,92.8,75.0,0.00,6.6
BERBERA,+10.389,+044.941,20050402,81.2,95.0,,0.00,6.6
BERBERA,+10.389,+044.941,20050404,85.5,87.8,71.8,0.00,9.7
BERBERA,+10.389,+044.941,20050405,86.1,87.8,84.2,0.00,10.2
BERBERA,+10.389,+044.941,20050406,87.2,91.0,70.5,0.00,8.1
BERBERA,+10.389,+044.941,20050407,86.0,89.6,78.8,0.00,7.0
BERBERA,+10.389,+044.941,20050408,86.4,89.6,82.4,0.00,3.3
BERBERA,+10.389,+044.941,20050410,87.0,91.4,77.0,0.00,9.8
BERBERA,+10.389,+044.941,20050411,88.3,90.5,76.3,0.00,9.9
BERBERA,+10.389,+044.941,20050412,87.6,92.1,84.7,0.00,12.8
BERBERA,+10.389,+044.941,20050413,87.0,92.5,77.7,0.00,8.5
