region,date,item,price
Galgaduud,2013.66301369863,"Water (potable, drinking)",25000.0
Galgaduud,2015.4109589041095,"Water (potable, drinking)",17500.0
Galgaduud,2015.4931506849316,"Water (potable, drinking)",17933.333333333332
Galgaduud,2015.5780821917808,"Water (potable, drinking)",18666.666666666668
Galgaduud,2015.66301369863,"Water (potable, drinking)",18666.666666666668
Galgaduud,2015.7452054794521,"Water (potable, drinking)",18666.666666666668
Galgaduud,2015.8301369863013,"Water (potable, drinking)",18666.666666666668
Galgaduud,2015.9123287671232,"Water (potable, drinking)",18666.666666666668
Galgaduud,2015.9972602739726,"Water (potable, drinking)",18666.666666666668
Galgaduud,2016.0819672131147,"Water (potable, drinking)",18666.666666666668
Galgaduud,2016.1612021857923,"Water (potable, drinking)",18666.666666666668
Galgaduud,2016.2459016393443,"Water (potable, drinking)",19333.333333333332
Galgaduud,2016.327868852459,"Water (potable, drinking)",30000.0
Galgaduud,2016.4125683060108,"Water (potable, drinking)",23333.333333333332
Galgaduud,2016.4945355191257,"Water (potable, drinking)",46666.666666666664
Galgaduud,2016.5792349726776,"Water (potable, drinking)",38333.333333333336
Galgaduud,2016.6639344262296,"Water (potable, drinking)",33333.333333333336
Galgaduud,2016.7459016393443,"Water (potable, drinking)",33333.333333333336
Galgaduud,2016.8306010928961,"Water (potable, drinking)",16000.0
Galgaduud,2016.9125683060108,"Water (potable, drinking)",26500.0
Galgaduud,2016.9972677595629,"Water (potable, drinking)",23666.666666666668
Galgaduud,2017.0821917808219,"Water (potable, drinking)",21916.666666666668
Galgaduud,2017.158904109589,"Water (potable, drinking)",21666.666666666668
Galgaduud,2017.2438356164384,"Water (potable, drinking)",21750.0
Galgaduud,2017.3260273972603,"Water (potable, drinking)",23583.333333333332
Galgaduud,2017.4109589041095,"Water (potable, drinking)",15333.333333333334
Galgaduud,2017.4931506849316,"Water (potable, drinking)",21666.666666666668
Galgaduud,2017.5780821917808,"Water (potable, drinking)",15666.666666666666
Galgaduud,2017.66301369863,"Water (potable, drinking)",16333.333333333334
Galgaduud,2017.7452054794521,"Water (potable, drinking)",16000.0
Galgaduud,2017.8301369863013,"Water (potable, drinking)",15000.0
Galgaduud,2017.9123287671232,"Water (potable, drinking)",10333.333333333334
Galgaduud,2017.9972602739726,"Water (potable, drinking)",13333.333333333334
Galgaduud,2018.0821917808219,"Water (potable, drinking)",16000.0
Galgaduud,2018.158904109589,"Water (potable, drinking)",16000.0
Galgaduud,2018.2438356164384,"Water (potable, drinking)",16000.0
Galgaduud,2018.3260273972603,"Water (potable, drinking)",13333.333333333334
Galgaduud,2018.4109589041095,"Water (potable, drinking)",11666.666666666666
Galgaduud,2018.4931506849316,"Water (potable, drinking)",13333.333333333334
Galgaduud,2018.5780821917808,"Water (potable, drinking)",15000.0
Galgaduud,2018.66301369863,"Water (potable, drinking)",14333.333333333334
Galgaduud,2018.7452054794521,"Water (potable, drinking)",15333.333333333334
Galgaduud,2018.8301369863013,"Water (potable, drinking)",15333.333333333334
Galgaduud,2018.9123287671232,"Water (potable, drinking)",15583.333333333334
Galgaduud,2018.9972602739726,"Water (potable, drinking)",16583.333333333332
Galgaduud,2019.0821917808219,"Water (potable, drinking)",17333.333333333332
Galgaduud,2019.158904109589,"Water (potable, drinking)",17333.333333333332
Galgaduud,2019.2438356164384,"Water (potable, drinking)",18333.333333333332
Galgaduud,2019.3260273972603,"Water (potable, drinking)",18333.333333333332
Galgaduud,2019.4109589041095,"Water (potable, drinking)",18333.333333333332
Galgaduud,2019.4931506849316,"Water (potable, drinking)",18333.333333333332
Galgaduud,2019.5780821917808,"Water (potable, drinking)",18333.333333333332
Galgaduud,2019.66301369863,"Water (potable, drinking)",16666.666666666668
Galgaduud,2019.7452054794521,"Water (potable, drinking)",20000.0
Galgaduud,2019.8301369863013,"Water (potable, drinking)",16666.666666666668
Galgaduud,2019.9123287671232,"Water (potable, drinking)",16666.666666666668
Galgaduud,2019.9972602739726,"Water (potable, drinking)",16666.666666666668
Galgaduud,2015.4109589041095,Salt,6000.0
Galgaduud,2015.4931506849316,Salt,7333.333333333333
Galgaduud,2015.5780821917808,Salt,6666.666666666667
Galgaduud,2015.66301369863,Salt,6666.666666666667
Galgaduud,2015.7452054794521,Salt,6666.666666666667
Galgaduud,2015.8301369863013,Salt,6666.666666666667
Galgaduud,2015.9123287671232,Salt,6666.666666666667
Galgaduud,2015.9972602739726,Salt,6666.666666666667
Galgaduud,2016.0819672131147,Salt,6333.333333333333
Galgaduud,2016.1612021857923,Salt,6666.666666666667
Galgaduud,2016.2459016393443,Salt,6666.666666666667
Galgaduud,2016.327868852459,Salt,6666.666666666667
Galgaduud,2016.4125683060108,Salt,6666.666666666667
Galgaduud,2016.4945355191257,Salt,6466.666666666667
Galgaduud,2016.5792349726776,Salt,6000.0
Galgaduud,2016.6639344262296,Salt,6666.666666666667
Galgaduud,2016.7459016393443,Salt,6666.666666666667
Galgaduud,2016.8306010928961,Salt,6666.666666666667
Galgaduud,2016.9125683060108,Salt,5916.666666666667
Galgaduud,2016.9972677595629,Salt,7333.333333333333
Galgaduud,2017.0821917808219,Salt,6666.666666666667
Galgaduud,2017.158904109589,Salt,6666.666666666667
Galgaduud,2017.2438356164384,Salt,6666.666666666667
Galgaduud,2017.3260273972603,Salt,6666.666666666667
Galgaduud,2017.4109589041095,Salt,6666.666666666667
Galgaduud,2017.4931506849316,Salt,6666.666666666667
Galgaduud,2017.5780821917808,Salt,6666.666666666667
Galgaduud,2017.66301369863,Salt,6666.666666666667
