time,region,pop,idp_pop,p2count,p2perc,p3count,p3perc,p4count,p4perc,p5count,p5perc
2015.495890410959,Mudug,717863,70882,109458,0.15247756187461953,48083,0.0669807470227606,324,0.00045133960101022063,0,0.0
2015.495890410959,Togdheer,721364,25760,479365,0.6645258149838362,30185,0.04184433933492661,5043,0.006990922751897793,0,0.0
2015.495890410959,Gedo,508404,76728,171063,0.3364706021195742,5351,0.01052509421641057,1921,0.003778491121234294,0,0.0
2015.495890410959,Woqooyi Galbeed,1242003,44590,74052,0.05962304438878167,62882,0.050629507336133646,4154,0.0033445973963025853,0,0.0
2015.495890410959,Middle Juba,362922,27000,124671,0.3435200952270736,2916,0.008034784333823796,0,0.0,0,0.0
2015.495890410959,Banadir,1650228,369289,1090022,0.6605281209626791,347639,0.21066119348356713,44937,0.027230782655487604,0,0.0
2015.495890410959,Hiraan,520684,51160,188640,0.3622926765562222,15000,0.028808259904279754,5000,0.009602753301426585,0,0.0
2015.495890410959,Lower Shabelle,1202222,102970,349418,0.2906434918010151,9930,0.008259705778134155,0,0.0,0,0.0
2015.495890410959,Bari,730148,59646,255350,0.349723617677512,59475,0.08145608835468973,6450,0.0088338254710004,0,0.0
2015.495890410959,Bay,792182,39820,113792,0.14364375863122364,14676,0.018526045782408587,2708,0.003418406376312514,0,0.0
2015.495890410959,Sool,327427,4820,144732,0.44202829943773725,6291,0.01921344299645417,1258,0.0038420777761149815,0,0.0
2015.495890410959,Nugaal,392697,9495,99283,0.25282342365742544,5122,0.013043135037955471,1485,0.0037815414938234823,0,0.0
2015.495890410959,Galgaduud,569434,119768,183544,0.32232708268210186,34618,0.060793700411285595,2690,0.0047239890838973436,0,0.0
2015.495890410959,Bakool,367227,24000,67578,0.18402241665237032,31261,0.08512718291411035,0,0.0,0,0.0
2015.495890410959,Sanaag,544123,910,82656,0.15190682988956541,554,0.0010181521457464581,0,0.0,0,0.0
2015.495890410959,Lower Juba,489307,30600,188686,0.3856188446108476,31415,0.06420304634922451,2640,0.005395385718986239,0,0.0
2015.495890410959,Middle Shabelle,516036,51960,172525,0.3343274500228666,5356,0.010379120836530784,0,0.0,0,0.0
2015.495890410959,Awdal,673264,7990,66325,0.09851261912117683,35787,0.05315448323391716,0,0.0,0,0.0
2015.7479452054795,Mudug,717863,70882,103778,0.14456518862234158,47292,0.06587886546597331,324,0.00045133960101022063,0,0.0
2015.7479452054795,Lower Shabelle,1202222,102970,337676,0.28087657687182566,40235,0.033467196574343175,0,0.0,0,0.0
2015.7479452054795,Awdal,673264,7990,84147,0.12498366168397539,69209,0.10279622852254093,0,0.0,0,0.0
2015.7479452054795,Middle Shabelle,516035,51960,170245,0.32990979294040135,16066,0.03113354714312014,0,0.0,0,0.0
2015.7479452054795,Sanaag,544123,910,60673,0.11150603815681381,23046,0.04235439413514959,0,0.0,0,0.0
2015.7479452054795,Bakool,367227,24000,71717,0.19529337439785202,31261,0.08512718291411035,0,0.0,0,0.0
2015.7479452054795,Galgaduud,569434,119768,167098,0.2934457724688024,36077,0.06335589374712433,2690,0.0047239890838973436,0,0.0
2015.7479452054795,Nugaal,392697,9495,99283,0.25282342365742544,5122,0.013043135037955471,1485,0.0037815414938234823,0,0.0
2015.7479452054795,Sool,327427,4820,144732,0.44202829943773725,6291,0.01921344299645417,1258,0.0038420777761149815,0,0.0
2015.7479452054795,Lower Juba,489307,30600,186652,0.3814619451591741,40105,0.08196285767422089,2640,0.005395385718986239,0,0.0
2015.7479452054795,Bari,730148,59646,233403,0.3196653281252568,81421,0.11151300832160055,6450,0.0088338254710004,0,0.0
2015.7479452054795,Hiraan,520684,51160,153831,0.2954402286223506,19526,0.0375006721927311,5000,0.009602753301426585,0,0.0
2015.7479452054795,Banadir,1650228,369289,1090022,0.6605281209626791,347639,0.21066119348356713,44937,0.027230782655487604,0,0.0
2015.7479452054795,Middle Juba,362922,27000,117747,0.32444161555375534,19182,0.052854332335873826,0,0.0,0,0.0
2015.7479452054795,Woqooyi Galbeed,1242003,44590,88002,0.07085490131666349,97313,0.0783516625966282,4154,0.0033445973963025853,0,0.0
2015.7479452054795,Gedo,508403,76728,139421,0.2742332362318869,10278,0.020216245773530053,1921,0.003778498553313021,0,0.0
2015.7479452054795,Togdheer,721364,25760,479365,0.6645258149838362,30185,0.04184433933492661,5043,0.006990922751897793,0,0.0
2015.7479452054795,Bay,792182,39820,165193,0.20852910063596497,14676,0.018526045782408587,2708,0.003418406376312514,0,0.0
2016.0,Middle Shabelle,516036,51960,113687,0.2203082730662202,0,0.0,0,0.0,0,0.0
2016.0,Mudug,717863,70882,122752,0.17099641575063765,39736,0.0553531802029078,926,0.0012899397238748899,0,0.0
2016.0,Togdheer,721364,25760,479880,0.6652397402698221,30082,0.04170155427772941,4837,0.006705352637503396,0,0.0
2016.0,Gedo,508404,76728,121934,0.2398368226843219,4356,0.008567989236906083,3345,0.00657941322255529,0,0.0
2016.0,Woqooyi Galbeed,1242003,44590,87435,0.0703983806802399,98185,0.07905375429850009,4019,0.0032359020066779227,0,0.0
2016.0,Middle Juba,362922,27000,106961,0.2947217308402356,0,0.0,0,0.0,0,0.0
2016.0,Banadir,1650228,369289,1063179,0.6442618838124187,365596,0.22154272015745702,0,0.0,0,0.0
2016.0,Hiraan,520684,51160,128585,0.2469540066527875,35929,0.06900346467339115,0,0.0,0,0.0
2016.0,Sool,327427,4820,168663,0.5151163465444206,6291,0.01921344299645417,1258,0.0038420777761149815,0,0.0
